Category,Precision,Recall,F1-score,Support
PC방,0.88,0.91,0.90,1037
가구,0.77,0.58,0.66,1508
가발,0.25,0.01,0.03,145
가방,0.72,0.34,0.47,566
가스 충전소,0.79,0.72,0.75,327
가전제품,0.38,0.22,0.28,1163
가전제품 수리,0.45,0.59,0.51,1662
가정용 연료,0.78,0.82,0.80,759
가죽/가방/신발 수선,0.60,0.28,0.39,134
간이 음식점(기타),0.47,0.13,0.20,1153
개인/가정용품 수리(기타),0.56,0.43,0.49,1247
건강보조식품,0.55,0.58,0.57,2351
건물 및 토목 엔지니어링 서비스,0.41,0.53,0.46,1160
건설/건축자재,0.65,0.49,0.56,197
건설기계/장비 대여업,0.51,0.62,0.56,539
건어물/젓갈,0.76,0.52,0.62,691
건축 설계 및 관련 서비스,0.88,0.79,0.83,3086
건축물 일반 청소,0.47,0.66,0.55,2554
결혼 상담 서비스,0.73,0.57,0.64,299
경양식,0.46,0.31,0.37,2695
경영 컨설팅,0.29,0.59,0.39,8250
고용 알선업,0.67,0.71,0.69,1633
곡물/곡분,0.69,0.29,0.41,265
골프 연습장,0.82,0.81,0.81,1713
곱창 전골/구이,0.90,0.97,0.94,882
공인노무사,0.64,0.83,0.72,211
공인회계사,0.80,0.40,0.53,285
광고 대행,0.30,0.38,0.33,4479
광고 매체 판매,0.00,0.00,0.00,74
광고물 설계/제작업,0.00,0.00,0.00,1066
교육기관(기타),0.25,0.13,0.17,1306
교육컨설팅,0.30,0.22,0.25,824
구내식당,0.77,0.71,0.74,1133
국/탕/찌개류,0.97,0.98,0.98,3928
국수/칼국수,0.89,0.83,0.86,2626
기념품점,0.29,0.11,0.16,868
기숙사/고시원,0.69,0.72,0.71,734
기타 개인/가정용품 대여업,0.40,0.22,0.28,570
기타 건설/건축자재,0.31,0.14,0.19,280
기타 광고 관련 서비스,0.74,0.11,0.20,279
기타 교육지원 서비스,0.47,0.18,0.26,1226
기타 기술/직업 훈련학원,0.41,0.46,0.44,2629
기타 동남아식 전문,0.51,0.69,0.59,67
기타 법무관련 서비스,0.00,0.00,0.00,32
기타 사무 지원 서비스,0.00,0.00,0.00,244
기타 산업용 기계/장비 대여업,0.33,0.11,0.16,582
기타 서양식 음식점,0.76,0.95,0.84,143
기타 스포츠시설 운영업,0.42,0.26,0.32,314
기타 엔지니어링 서비스,0.25,0.34,0.29,1672
기타 여행 보조/예약 서비스,0.59,0.08,0.15,261
기타 예술/스포츠 교육기관,0.53,0.42,0.47,891
기타 오락관련 서비스,0.34,0.18,0.24,808
기타 오락장,0.46,0.50,0.48,769
기타 운송장비 대여업,0.59,0.29,0.39,251
기타 의류,0.38,0.45,0.41,6243
기타 의원,0.64,0.65,0.64,395
기타 일식 음식점,0.77,0.81,0.79,62
기타 한식 음식점,0.83,0.96,0.89,336
기타 회계 관련 서비스,0.00,0.00,0.00,11
김밥/만두/분식,0.85,0.73,0.79,5266
꽃집,0.69,0.72,0.70,2758
낚시터 운영업,0.83,0.76,0.80,102
남성 의류,0.67,0.34,0.45,1087
내과/소아과 의원,0.78,0.82,0.80,1214
냉면/밀면,0.95,0.98,0.96,481
네일숍,0.89,0.75,0.81,2978
노래방,0.94,0.86,0.90,1824
닭/오리고기 구이/찜,0.77,0.95,0.85,1118
담배/전자담배,0.76,0.60,0.67,482
당구장,0.92,0.90,0.91,1167
도시 계획 및 조경 설계 서비스,0.50,0.21,0.30,310
독서실/스터디 카페,0.94,0.83,0.88,1574
동물병원,0.97,0.97,0.97,654
돼지고기 구이/찜,0.78,0.69,0.73,7911
떡/한과,0.90,0.98,0.94,1144
레크리에이션 교육기관,0.54,0.35,0.43,850
마라탕/훠궈,0.93,1.00,0.96,434
마사지/안마,0.42,0.36,0.38,778
만화방,0.52,0.30,0.38,91
명함/간판/광고물 제작,0.50,0.62,0.55,2531
모터사이클 및 부품,0.27,0.12,0.17,300
모터사이클 수리,0.61,0.50,0.55,411
목욕탕/사우나,0.75,0.77,0.76,761
무도 유흥 주점,0.81,0.13,0.23,129
문구/회화용품,0.76,0.60,0.67,1303
미술학원,0.78,0.88,0.83,1587
미용실,0.85,0.87,0.86,12686
바둑/장기/체스 경기 운영업,0.62,0.52,0.57,69
반찬/식료품,0.60,0.40,0.48,1991
방사선 진단/병리 검사 의원,0.75,0.58,0.65,57
백반/한정식,0.57,0.66,0.61,20417
버거,0.98,0.98,0.98,676
번역/통역 서비스,0.82,0.26,0.40,458
법무사,0.99,0.97,0.98,1284
베트남식 전문,0.55,0.45,0.50,800
벽지/장판/마루,0.80,0.65,0.71,708
변리사,0.92,0.89,0.91,218
변호사,0.97,0.98,0.98,1591
복 요리 전문,0.90,0.98,0.94,96
복권 발행/판매,0.90,0.75,0.81,799
복사업,0.63,0.60,0.62,284
볼링장,0.87,0.83,0.85,178
부동산 중개/대리,0.85,0.86,0.85,11039
분류 안된 외국식 음식점,0.00,0.00,0.00,6
뷔페,0.97,0.99,0.98,459
비디오방,0.00,0.00,0.00,17
빵/도넛,0.69,0.72,0.71,4606
사무기기,0.36,0.21,0.26,257
사업/무형 재산권 중개,0.59,0.10,0.18,399
사업시설 유지·관리 서비스,0.37,0.11,0.17,985
사진기/기타 광학기기,0.67,0.09,0.16,86
사진촬영업,0.63,0.71,0.67,3108
사회교육시설,0.50,0.06,0.11,155
산부인과 의원,0.91,0.95,0.93,224
산업설비; 운송장비 및 공공장소 청소,0.47,0.14,0.22,513
상용 인력 공급 및 인사관리 서비스,0.11,0.00,0.01,333
상품 전문 (기타),0.56,0.33,0.41,1983
생맥주 전문,0.67,0.60,0.63,1692
생수/음료,0.56,0.27,0.36,182
서점,0.64,0.46,0.53,1076
성형외과 의원,0.93,0.74,0.83,290
세무사,0.94,0.97,0.95,2237
